Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P51691	ARS_PSEAE	atsA PA0183	PA0183	Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)	GO:0004065; GO:0005737; GO:0008081; GO:0046872		arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]	cytoplasm [GO:0005737]
Q00515	GSPH_PSEAE	xcpU pddB PA3100	PA3100	Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)	GO:0005886; GO:0015627; GO:0015628; GO:0044010; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; protein secretion by the type II secretion system [GO:0015628]; single-species biofilm formation [GO:0044010]		plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q51366	GM4D_PSEAE	gmd gca PA5453	PA5453	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	GO:0008446; GO:0009103; GO:0009243; GO:0019306; GO:0042351; GO:0070401	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-D-rhamnose biosynthetic process [GO:0019306]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]	GDP-mannose 4,6-dehydratase activity [GO:0008446]; NADP+ binding [GO:0070401]	
Q51424	RUVC_PSEAE	ruvC PA0965	PA0965	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	GO:0000287; GO:0003677; GO:0005737; GO:0006281; GO:0006310; GO:0008821; GO:0048476	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	crossover junction DNA endonuclease activity [GO:0008821]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]
Q51507	PCHB_PSEAE	pchB PA4230	PA4230	Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)	GO:0004106; GO:0009697; GO:0016835; GO:0042864; GO:0043904; GO:0046417	chorismate metabolic process [GO:0046417]; pyochelin biosynthetic process [GO:0042864]; salicylic acid biosynthetic process [GO:0009697]	carbon-oxygen lyase activity [GO:0016835]; chorismate mutase activity [GO:0004106]; isochorismate pyruvate lyase activity [GO:0043904]	
Q9HTK9	RURE_PSEAE	alkT PA5349	PA5349	Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)	GO:0005737; GO:0015044; GO:0015046; GO:0016491; GO:0043448; GO:0050660	alkane catabolic process [GO:0043448]	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; rubredoxin-NAD+ reductase activity [GO:0015044]; rubredoxin-NADP+ reductase activity [GO:0015046]	cytoplasm [GO:0005737]
Q9HTN2	ARGB_PSEAE	argB PA5323	PA5323	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	GO:0003991; GO:0005524; GO:0005737; GO:0006526; GO:0042450	L-arginine biosynthetic process [GO:0006526]; L-arginine biosynthetic process via ornithine [GO:0042450]	acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]
Q9HU15	FABY_PSEAE	fabY PA5174	PA5174	Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)	GO:0004315; GO:0005829; GO:0006633; GO:0009245; GO:0009372; GO:0016020; GO:0019290; GO:0033818	fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]; quorum sensing [GO:0009372]; siderophore biosynthetic process [GO:0019290]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]	cytosol [GO:0005829]; membrane [GO:0016020]
Q9HUF7	WAAP_PSEAE	waaP rfaP PA5009	PA5009	Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)	GO:0004715; GO:0005524; GO:0005737; GO:0009244; GO:0016301	lipopolysaccharide core region biosynthetic process [GO:0009244]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	cytoplasm [GO:0005737]
Q9HUK9	THTR_PSEAE	rhdA PA4956	PA4956	Thiosulfate sulfurtransferase (TST) (EC 2.8.1.1) (Rhodanese RhdA) (Thiosulfate:cyanide sulfurtransferase)	GO:0004792; GO:0005737; GO:0009636; GO:0016783	response to toxic substance [GO:0009636]	sulfurtransferase activity [GO:0016783]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]	cytoplasm [GO:0005737]
Q9HUU1	OADC_PSEAE	PA4872	PA4872	Oxaloacetate decarboxylase (EC 4.1.1.112)	GO:0000287; GO:0006107; GO:0008948; GO:0019629; GO:0042866; GO:0046421	oxaloacetate metabolic process [GO:0006107]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; pyruvate biosynthetic process [GO:0042866]	magnesium ion binding [GO:0000287]; methylisocitrate lyase activity [GO:0046421]; oxaloacetate decarboxylase activity [GO:0008948]	
Q9HWF9	FTNA_PSEAE	ftnA bfrA PA4235	PA4235	Bacterial ferritin (FtnA) (EC 1.16.3.1) (Bacterial non-heme ferritin) (Bacterioferritin alpha subunit) (BFR alpha subunit) (Nonheme-iron-containing cytochrome b557)	GO:0004322; GO:0005506; GO:0005829; GO:0006826; GO:0006879; GO:0008199; GO:0140315	intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; iron ion binding [GO:0005506]; iron ion sequestering activity [GO:0140315]	cytosol [GO:0005829]
Q9HWH2	PHZM_PSEAE	phzM PA4209	PA4209	Phenazine-1-carboxylate N-methyltransferase (EC 2.1.1.327)	GO:0008171; GO:0008757; GO:0032259; GO:0042802; GO:0042803; GO:0102168; GO:0106220; GO:1904047	methylation [GO:0032259]; pyocyanine biosynthetic process [GO:0106220]	5-methyl-phenazine-1-carboxylate N-methyltransferase activity [GO:0102168]; identical protein binding [GO:0042802]; O-methyltransferase activity [GO:0008171]; protein homodimerization activity [GO:0042803]; S-adenosyl-L-methionine binding [GO:1904047]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
Q9HYF1	PK22_PSEAE	PA3455	PA3455	Polyphosphate:AMP phosphotransferase (PAP) (EC 2.7.4.33) (Polyphosphate kinase PPK2 3)	GO:0006797; GO:0016301; GO:0042802; GO:0043751	polyphosphate metabolic process [GO:0006797]	identical protein binding [GO:0042802]; kinase activity [GO:0016301]; polyphosphate:AMP phosphotransferase activity [GO:0043751]	
Q9HZQ8	LAP_PSEAE	lap PA2939	PA2939	Aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (PaAP) [Cleaved into: Aminopeptidase AP58; Aminopeptidase AP56; Aminopeptidase AP28]	GO:0004177; GO:0005576; GO:0006508; GO:0008235; GO:0015628; GO:0043952; GO:0046872	protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]	extracellular region [GO:0005576]
Q9I060	MEP72_PSEAE	mep72 PA2783	PA2783	Peptidyl-Asp metalloendopeptidase (EC 3.4.24.33) (Biofilm-associated metzincin protease) (Metalloendopeptidase Mep72)	GO:0004175; GO:0005615; GO:0008237; GO:0009279; GO:0016798; GO:0019867; GO:0046872; GO:0097264	self proteolysis [GO:0097264]	endopeptidase activity [GO:0004175]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	cell outer membrane [GO:0009279]; extracellular space [GO:0005615]; outer membrane [GO:0019867]
Q9I0F2	PFEE_PSEAE	pfeE PA2689	PA2689	Iron(III) enterobactin esterase (EC 3.1.1.108)	GO:0016788; GO:0042597; GO:0052689		carboxylic ester hydrolase activity [GO:0052689]; hydrolase activity, acting on ester bonds [GO:0016788]	periplasmic space [GO:0042597]
Q9I0U1	TAMA_PSEAE	tamA PA2543	PA2543	Translocation and assembly module subunit TamA (TAM module subunit TamA) (Outer membrane protein insertase TamA) (OMP insertase TamA) (PaTamA)	GO:0009279; GO:0009306; GO:0032977; GO:0043165; GO:0051205; GO:0089705; GO:0097347	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; protein insertion into membrane [GO:0051205]; protein localization to outer membrane [GO:0089705]; protein secretion [GO:0009306]	membrane insertase activity [GO:0032977]	cell outer membrane [GO:0009279]; TAM protein secretion complex [GO:0097347]
Q9I0Z0	MEXT_PSEAE	mexT nfxC PA2492	PA2492	Transcriptional regulator MexT	GO:0000976; GO:0001216; GO:0006351; GO:0006355; GO:0032993; GO:0045861; GO:0045893; GO:0050709; GO:1900377	DNA-templated transcription [GO:0006351]; negative regulation of protein secretion [GO:0050709]; negative regulation of proteolysis [GO:0045861]; negative regulation of secondary metabolite biosynthetic process [GO:1900377]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
Q9I190	PVDT_PSEAE	pvdT PA2390	PA2390	Pyoverdine export ATP-binding/permease protein PvdT (EC 7.6.2.-)	GO:0002049; GO:0005524; GO:0005886; GO:0015562; GO:0016887; GO:0022857; GO:1990281	pyoverdine biosynthetic process [GO:0002049]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; efflux transmembrane transporter activity [GO:0015562]; transmembrane transporter activity [GO:0022857]	efflux pump complex [GO:1990281]; plasma membrane [GO:0005886]
Q9I1K1	FTSI2_PSEAE	pbpC PA2272	PA2272	Probable peptidoglycan D,D-transpeptidase PbpC (EC 3.4.16.4) (PBP3x) (Penicillin-binding protein 3 homolog) (PBP3 homolog)	GO:0000917; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0043093; GO:0071555	cell wall organization [GO:0071555]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	plasma membrane [GO:0005886]
Q9I5W4	IMPA_PSEAE	impA PA0572	PA0572	Immunomodulating metalloprotease (EC 3.4.24.-) (IMPa)	GO:0005615; GO:0006508; GO:0008237; GO:0015628; GO:0030163; GO:0043952; GO:0046872; GO:1903237	negative regulation of leukocyte tethering or rolling [GO:1903237]; protein catabolic process [GO:0030163]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	extracellular space [GO:0005615]
Q9I6M7	VGR2B_PSEAE	vgrG2b PA0262	PA0262	Type VI secretion system spike protein VgrG2b (Metallopeptidase effector VgrG2b) (EC 3.4.24.-)	GO:0005576; GO:0016787; GO:0033103; GO:0033104; GO:0046872	protein secretion by the type VI secretion system [GO:0033103]	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]
Q9I6V6	MCPB_PSEAE	mcpB aer-2 aer2 tlpG PA0176	PA0176	Methyl-accepting chemotaxis protein McpB (Aerotaxis transducer Aer2)	GO:0004888; GO:0005737; GO:0005886; GO:0006935; GO:0007165; GO:0009454; GO:0042802; GO:0046872; GO:0052131	aerotaxis [GO:0009454]; chemotaxis [GO:0006935]; positive aerotaxis [GO:0052131]; signal transduction [GO:0007165]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; transmembrane signaling receptor activity [GO:0004888]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9ZN70	PPX_PSEAE	ppx PA5241	PA5241	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Polyphosphate:ADP phosphotransferase) (PolyP:ADP phosphotransferase) (EC 2.7.4.1)	GO:0004309; GO:0005886; GO:0006798; GO:0006995; GO:0008976; GO:0009247; GO:0009372; GO:0016036; GO:0044010; GO:0071977; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; bacterial-type flagellum-dependent swimming motility [GO:0071977]; cellular response to nitrogen starvation [GO:0006995]; cellular response to phosphate starvation [GO:0016036]; glycolipid biosynthetic process [GO:0009247]; polyphosphate catabolic process [GO:0006798]; quorum sensing [GO:0009372]; single-species biofilm formation [GO:0044010]	exopolyphosphatase activity [GO:0004309]; polyphosphate kinase activity [GO:0008976]	plasma membrane [GO:0005886]
G3XD94	UGND_PSEAE	wbpA PA3159	PA3159	UDP-N-acetyl-D-glucosamine 6-dehydrogenase (UDP-D-GlcNAc 6-dehydrogenase) (EC 1.1.1.136) (UDP-N-acetylglucosamine 6-dehydrogenase)	GO:0000271; GO:0003954; GO:0009243; GO:0016020; GO:0016491; GO:0016628; GO:0047004; GO:0051287; GO:0071555	cell wall organization [GO:0071555]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]	NAD binding [GO:0051287]; NADH dehydrogenase activity [GO:0003954]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; UDP-N-acetylglucosamine 6-dehydrogenase activity [GO:0047004]	membrane [GO:0016020]
O33407	ESTA_PSEAE	estA papA PA5112	PA5112	Esterase EstA (EC 3.1.1.1) (Autotransporter esterase EstA)	GO:0008610; GO:0009247; GO:0009279; GO:0016298; GO:0044010; GO:0048870; GO:0052689; GO:0071973; GO:0071978; GO:0106435	bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; cell motility [GO:0048870]; glycolipid biosynthetic process [GO:0009247]; lipid biosynthetic process [GO:0008610]; single-species biofilm formation [GO:0044010]	carboxylesterase activity [GO:0106435]; carboxylic ester hydrolase activity [GO:0052689]; lipase activity [GO:0016298]	cell outer membrane [GO:0009279]
P0DPC1	PHZD2_PSEAE	phzD2 phzD PA1902	PA1902	Phenazine biosynthesis protein PhzD2 (2-amino-4-deoxychorismate hydrolase) (EC 3.3.2.15) (Isochorismatase) (Trans-2,3-dihydro-3-hydroxyanthranilic acid synthase)	GO:0002047; GO:0005829; GO:0008908	phenazine biosynthetic process [GO:0002047]	isochorismatase activity [GO:0008908]	cytosol [GO:0005829]
P11439	TOXA_PSEAE	eta PA1148	PA1148	Exotoxin A (ETA) (EC 2.4.2.36) (NAD(+)--diphthamide ADP-ribosyltransferase) (Pseudomonas exotoxin) (PE)	GO:0001907; GO:0016779; GO:0047286; GO:0090729; GO:0141155	symbiont-mediated killing of host cell [GO:0001907]; symbiont-mediated suppression of host translation elongation [GO:0141155]	NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; nucleotidyltransferase activity [GO:0016779]; toxin activity [GO:0090729]	
P20582	PQSD_PSEAE	pqsD PA0999	PA0999	Anthraniloyl-CoA anthraniloyltransferase (EC 2.3.1.262) (2-heptyl-4(1H)-quinolone synthase PqsD) (PqsD)	GO:0004315; GO:0005737; GO:0016746; GO:0030497; GO:0033818; GO:0044550	fatty acid elongation [GO:0030497]; secondary metabolite biosynthetic process [GO:0044550]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; acyltransferase activity [GO:0016746]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]	cytoplasm [GO:0005737]
P24474	NIRS_PSEAE	nirS PA0519	PA0519	Nitrite reductase (EC 1.7.2.1) (Cytochrome cd1) (Cytochrome oxidase) (Hydroxylamine reductase) (EC 1.7.99.1)	GO:0009055; GO:0020037; GO:0042597; GO:0046872; GO:0050418; GO:0050421		electron transfer activity [GO:0009055]; heme binding [GO:0020037]; hydroxylamine reductase activity [GO:0050418]; metal ion binding [GO:0046872]; nitrite reductase (NO-forming) activity [GO:0050421]	periplasmic space [GO:0042597]
P24559	PILT_PSEAE	pilT PA0395	PA0395	Type IV pilus retraction ATPase PilT	GO:0005524; GO:0005829; GO:0016887; GO:0043107; GO:0043108; GO:0044096	pilus retraction [GO:0043108]; type IV pilus-dependent motility [GO:0043107]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytosol [GO:0005829]; type IV pilus [GO:0044096]
P26993	EXSA_PSEAE	exsA PA1713	PA1713	HTH-type transcriptional regulator ExsA	GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0043565; GO:0050709; GO:2000144	DNA-templated transcription [GO:0006351]; negative regulation of protein secretion [GO:0050709]; positive regulation of DNA-templated transcription initiation [GO:2000144]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
P35818	GSPD_PSEAE	xcpQ PA3105	PA3105	Secretin XcpQ (General secretion pathway protein D) (Type II secretion system protein D) (T2SS protein D)	GO:0009279; GO:0009306; GO:0015627; GO:0015628; GO:0042802	protein secretion [GO:0009306]; protein secretion by the type II secretion system [GO:0015628]	identical protein binding [GO:0042802]	cell outer membrane [GO:0009279]; type II protein secretion system complex [GO:0015627]
P45684	RPOS_PSEAE	rpoS PA3622	PA3622	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	GO:0000976; GO:0003899; GO:0005737; GO:0006352; GO:0006355; GO:0016987; GO:0050921; GO:1900034; GO:1900233; GO:1900377; GO:1900407; GO:1901000; GO:1903865; GO:2000145	DNA-templated transcription initiation [GO:0006352]; negative regulation of secondary metabolite biosynthetic process [GO:1900377]; positive regulation of chemotaxis [GO:0050921]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of cell motility [GO:2000145]; regulation of cellular response to heat [GO:1900034]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of DNA-templated transcription [GO:0006355]; regulation of response to salt stress [GO:1901000]	DNA-directed RNA polymerase activity [GO:0003899]; sigma factor activity [GO:0016987]; transcription cis-regulatory region binding [GO:0000976]	cytoplasm [GO:0005737]; sigma factor antagonist complex [GO:1903865]
P54292	RHLR_PSEAE	rhlR lasM vsmR PA3477	PA3477	HTH-type quorum-sensing regulator RhlR (Elastase modulator) (Regulatory protein RhlR)	GO:0000976; GO:0001216; GO:0001217; GO:0003700; GO:0005737; GO:0006351; GO:0009372; GO:0010467; GO:0032993; GO:0038023; GO:0045862; GO:0045893; GO:0046889; GO:0062162; GO:1900378	DNA-templated transcription [GO:0006351]; gene expression [GO:0010467]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of proteolysis [GO:0045862]; positive regulation of pyocyanine biosynthetic process [GO:0062162]; positive regulation of secondary metabolite biosynthetic process [GO:1900378]; quorum sensing [GO:0009372]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; signaling receptor activity [GO:0038023]; transcription cis-regulatory region binding [GO:0000976]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]
P72131	PTXR_PSEAE	ptxR PA2258	PA2258	HTH-type transcriptional regulator PtxR (Pseudomonas exotoxin A regulator)	GO:0000976; GO:0001216; GO:0003950; GO:0006351; GO:0006355; GO:0032993; GO:0045862; GO:0045893; GO:1900377	DNA-templated transcription [GO:0006351]; negative regulation of secondary metabolite biosynthetic process [GO:1900377]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of proteolysis [GO:0045862]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
Q03023	APRA_PSEAE	aprA PA1249	PA1249	Serralysin (EC 3.4.24.40) (Alkaline metalloproteinase) (AP)	GO:0001869; GO:0004222; GO:0005509; GO:0005615; GO:0006508; GO:0008233; GO:0008270; GO:0010765; GO:0031012; GO:0045959; GO:0141141	negative regulation of complement activation, classical pathway [GO:0045959]; negative regulation of complement activation, lectin pathway [GO:0001869]; positive regulation of sodium ion transport [GO:0010765]; proteolysis [GO:0006508]; symbiont-mediated evasion of recognition by host pattern recognition receptor [GO:0141141]	calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
Q06749	ALGL_PSEAE	algL PA3547	PA3547	Alginate lyase (EC 4.2.2.3) (Poly(beta-D-mannuronate) lyase)	GO:0004794; GO:0042121; GO:0042122; GO:0042597; GO:0045135	alginic acid biosynthetic process [GO:0042121]; alginic acid catabolic process [GO:0042122]	poly(beta-D-mannuronate) lyase activity [GO:0045135]; threonine deaminase activity [GO:0004794]	periplasmic space [GO:0042597]
Q59636	NDK_PSEAE	ndk PA3807	PA3807	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	GO:0004550; GO:0005524; GO:0005737; GO:0006163; GO:0006183; GO:0006220; GO:0006228; GO:0006241; GO:0042121; GO:0046872	alginic acid biosynthetic process [GO:0042121]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	cytoplasm [GO:0005737]
Q59643	HEM2_PSEAE	hemB PA5243	PA5243	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	GO:0004655; GO:0005829; GO:0006779; GO:0006782; GO:0006783; GO:0008270	heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]
Q9HTC0	WBPZ_PSEAE	wbpZ PA5447	PA5447	D-rhamnosyltransferase WbpZ (EC 2.4.1.-) (GDP-D-Man:GlcNAc-diphosphate-lipid alpha-1,3-D-mannosyltransferase) (EC 2.4.1.348) (GDP-D-Man:GlcNAc/GalNAc-diphosphate-lipid alpha-1,3-D-mannosyltransferase) (GDP-D-rhamnose:GlcNAc/GalNAc-diphosphate-lipid alpha-1,3-D-rhamnosyltransferase)	GO:0000030; GO:0005737; GO:0009103; GO:0009243; GO:0016757; GO:0016758; GO:0033296; GO:0071236	cellular response to antibiotic [GO:0071236]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]	glycosyltransferase activity [GO:0016757]; hexosyltransferase activity [GO:0016758]; mannosyltransferase activity [GO:0000030]; rhamnose binding [GO:0033296]	cytoplasm [GO:0005737]
Q9HUT5	BRLR_PSEAE	brlR PA4878	PA4878	Transcriptional regulator BrlR (HTH-type transcriptional regulator BrlR) (MerR-like regulator BrlR) (biofilm resistance locus regulator)	GO:0000166; GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0045892; GO:0045893	DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
Q9HV30	CUER_PSEAE	cueR PA4778	PA4778	HTH-type transcriptional regulator CueR (Copper homeostasis regulator CueR) (Cu(+)-sensing transcriptional regulator CueR) (Metallosensor CueR)	GO:0003677; GO:0003700; GO:0005507; GO:0005737; GO:0006351; GO:0045893	DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]	copper ion binding [GO:0005507]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytoplasm [GO:0005737]
Q9HVI9	MEXD_PSEAE	mexD PA4598	PA4598	Multidrug efflux pump subunit MexD (Efflux pump membrane transporter) (MexCD-OprJ multidrug efflux pump subunit MexD)	GO:0005886; GO:0009636; GO:0015562; GO:0042910	response to toxic substance [GO:0009636]	efflux transmembrane transporter activity [GO:0015562]; xenobiotic transmembrane transporter activity [GO:0042910]	plasma membrane [GO:0005886]
Q9HWJ2	AMALD_PSEAE	PA4189	PA4189	Aminoacetaldehyde dehydrogenase (ACTAL dehydrogenase) (EC 1.2.1.-)	GO:0000166; GO:0004030		aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; nucleotide binding [GO:0000166]	
Q9HY80	BFD_PSEAE	bfd PA3530	PA3530	Bacterioferritin-associated ferredoxin (Bfd)	GO:0046872; GO:0051537		2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]	
Q9HY91	FLCD_PSEAE	flcD PA3518	PA3518	S-succinyl-2-(hydroxyimino)methanethiol synthase (EC 1.3.3.-) (Heme oxigenase-like enzyme FlcD)	GO:0004553; GO:0016491; GO:0042597; GO:0046872		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	periplasmic space [GO:0042597]
Q9HYC5	TSE3_PSEAE	tse3 PA3484	PA3484	Peptidoglycan muramidase Tse3 (Toxin Tse3) (EC 3.2.1.17)	GO:0003796; GO:0005576; GO:0033644; GO:0046872		lysozyme activity [GO:0003796]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]; host cell membrane [GO:0033644]
Q9HZJ2	FADB_PSEAE	fadB PA3014	PA3014	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0016509; GO:0018812; GO:0036125; GO:0070403	fatty acid beta-oxidation [GO:0006635]	3-hydroxyacyl-CoA dehydratase activity [GO:0018812]; 3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain (3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity [GO:0016509]; NAD+ binding [GO:0070403]	fatty acid beta-oxidation multienzyme complex [GO:0036125]
