Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P25185	BRAZ_PSEAE	braZ PA1971	PA1971	Branched-chain amino acid transport system 3 carrier protein (LIV-III)	GO:0005304; GO:0005886; GO:0015188; GO:0015190; GO:0015803; GO:0015818; GO:0015820; GO:0015829	branched-chain amino acid transport [GO:0015803]; isoleucine transport [GO:0015818]; L-leucine transport [GO:0015820]; valine transport [GO:0015829]	L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-valine transmembrane transporter activity [GO:0005304]	plasma membrane [GO:0005886]
P26994	EXSB_PSEAE	exsB PA1712	PA1712	Type 3 secretion system pilotin (Exoenzyme S synthesis protein B) (Pilotin)	GO:0009279			cell outer membrane [GO:0009279]
P34002	AROB_PSEAE	aroB PA5038	PA5038	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	GO:0000166; GO:0003856; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate synthase activity [GO:0003856]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]
P40883	PCHR_PSEAE	pchR PA4227	PA4227	Regulatory protein PchR	GO:0000976; GO:0001216; GO:0001217; GO:0006351; GO:0032993	DNA-templated transcription [GO:0006351]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
P40947	SSB_PSEAE	ssb PA4232	PA4232	Single-stranded DNA-binding protein (SSB)	GO:0003697; GO:0006260; GO:0006281; GO:0006310; GO:0008047; GO:0009295	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	enzyme activator activity [GO:0008047]; single-stranded DNA binding [GO:0003697]	nucleoid [GO:0009295]
P42512	FPTA_PSEAE	fptA PA4221	PA4221	Fe(3+)-pyochelin receptor (Fe(III)-pyochelin receptor)	GO:0009279; GO:0015344; GO:0015891; GO:0033214; GO:0038023; GO:1903981	siderophore transport [GO:0015891]; siderophore-iron import into cell [GO:0033214]	enterobactin binding [GO:1903981]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	cell outer membrane [GO:0009279]
P42805	ISPE_PSEAE	ispE PA4669	PA4669	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	GO:0005524; GO:0016114; GO:0019288; GO:0050515	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524]	
P48246	HEM4_PSEAE	hemD PA5259	PA5259	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	GO:0004852; GO:0006780; GO:0006782	protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]	uroporphyrinogen-III synthase activity [GO:0004852]	
P72154	TRUB_PSEAE	truB orp PA4742	PA4742	tRNA pseudouridine synthase B (EC 5.4.99.25) (Osmoprotectant regulator of PLC) (ORP protein) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	GO:0003723; GO:0006400; GO:0009982; GO:0031119; GO:0160148; GO:1990481	mRNA pseudouridine synthesis [GO:1990481]; tRNA modification [GO:0006400]; tRNA pseudouridine synthesis [GO:0031119]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine(55) synthase activity [GO:0160148]	
P80357	ASTA_PSEAE	astA aruF PA0896	PA0896	Arginine N-succinyltransferase subunit alpha (ARUAI) (EC 2.3.1.109) (AOST) (AST)	GO:0006527; GO:0008791; GO:0009015; GO:0019545	L-arginine catabolic process [GO:0006527]; L-arginine catabolic process to succinate [GO:0019545]	arginine N-succinyltransferase activity [GO:0008791]; N-succinylarginine dihydrolase activity [GO:0009015]	
P95412	NIRD_PSEAE	nirD PA0515	PA0515	Siroheme decarboxylase NirD subunit (EC 4.1.1.111)	GO:0003700; GO:0006355; GO:0016829	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; lyase activity [GO:0016829]	
P95454	RLME_PSEAE	rlmE ftsJ rrmJ PA4752	PA4752	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	GO:0001510; GO:0005737; GO:0008650	RNA methylation [GO:0001510]	rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]	cytoplasm [GO:0005737]
Q03027	APRF_PSEAE	aprF PA1248	PA1248	Alkaline protease secretion protein AprF	GO:0009279; GO:0015288; GO:0015562; GO:0046903; GO:1990281	secretion [GO:0046903]	efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]	cell outer membrane [GO:0009279]; efflux pump complex [GO:1990281]
Q51479	NIRC_PSEAE	nirC PA0517	PA0517	Cytochrome c55X	GO:0009055; GO:0020037; GO:0042597; GO:0046872		electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	periplasmic space [GO:0042597]
Q51508	PCHA_PSEAE	pchA PA4231	PA4231	Salicylate biosynthesis isochorismate synthase (EC 5.4.4.2) (Isochorismate mutase)	GO:0008909; GO:0009697; GO:0042864	pyochelin biosynthetic process [GO:0042864]; salicylic acid biosynthetic process [GO:0009697]	isochorismate synthase activity [GO:0008909]	
Q59641	PPIA_PSEAE	ppiA cypH PA3227	PA3227	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)	GO:0003755; GO:0006457; GO:0030288	protein folding [GO:0006457]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	outer membrane-bounded periplasmic space [GO:0030288]
Q9HT25	GLMS_PSEAE	glmS PA5549	PA5549	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	GO:0004360; GO:0005829; GO:0005975; GO:0006002; GO:0006047; GO:0006487; GO:0046349; GO:0097367	amino sugar biosynthetic process [GO:0046349]; carbohydrate metabolic process [GO:0005975]; fructose 6-phosphate metabolic process [GO:0006002]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine metabolic process [GO:0006047]	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]	cytosol [GO:0005829]
Q9HT80	DPO1_PSEAE	polA PA5493	PA5493	DNA polymerase I (POL I) (EC 2.7.7.7)	GO:0003677; GO:0003887; GO:0006261; GO:0006302; GO:0008408; GO:0008409	DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]	3'-5' exonuclease activity [GO:0008408]; 5'-3' exonuclease activity [GO:0008409]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]	
Q9HTH0	CLSA_PSEAE	clsA cls PA5394	PA5394	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	GO:0005886; GO:0008808; GO:0016020; GO:0032049	cardiolipin biosynthetic process [GO:0032049]	cardiolipin synthase activity [GO:0008808]	membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9HTM1	RPOZ_PSEAE	rpoZ PA5337	PA5337	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	GO:0000345; GO:0001000; GO:0003677; GO:0003899; GO:0006352	DNA-templated transcription initiation [GO:0006352]	bacterial-type RNA polymerase core enzyme binding [GO:0001000]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]	cytosolic DNA-directed RNA polymerase complex [GO:0000345]
